Village_ID,Village,State,District,Water_Source,pH,TDS,Hardness,Fluoride,Arsenic,Quality_Status
12841,Village_12841,Uttar Pradesh,Bhopal,Groundwater,7.42,1366,315,1.81,0.072,Unsafe
12842,Village_12842,West Bengal,Ahmedabad,Groundwater,6.61,888,426,1.24,0.025,Unsafe
12843,Village_12843,Bihar,Ahmedabad,Groundwater,7.17,817,424,1.6,0.088,Unsafe
12844,Village_12844,West Bengal,Nagpur,Groundwater,7.64,1121,146,1.38,0.067,Unsafe
12845,Village_12845,Tamil Nadu,Jaipur,Groundwater,8.37,1223,198,2.05,0.062,Unsafe
12846,Village_12846,West Bengal,Muzaffarnagar,Groundwater,6.52,852,154,1.64,0.071,Unsafe
12847,Village_12847,Tamil Nadu,Chennai,Groundwater,7.14,605,316,2.19,0.052,Unsafe
12848,Village_12848,West Bengal,Patna,Groundwater,6.83,1213,482,2.53,0.068,Unsafe
12849,Village_12849,Rajasthan,Chennai,Groundwater,7.75,1121,215,0.65,0.079,Unsafe
12850,Village_12850,Madhya Pradesh,Ahmedabad,Groundwater,7.38,1026,312,1.27,0.017,Unsafe
12851,Village_12851,Bihar,Jaipur,Groundwater,6.78,418,282,0.8,0.055,Unsafe
12852,Village_12852,Rajasthan,Jaipur,Groundwater,6.8,561,451,0.52,0.031,Unsafe
12853,Village_12853,Bihar,Bhopal,Groundwater,7.55,581,255,0.68,0.009,Unsafe
12854,Village_12854,Bihar,Nagpur,Groundwater,8.14,959,130,2.32,0.063,Unsafe
12855,Village_12855,Gujarat,Jaipur,Groundwater,6.84,1391,138,2.72,0.071,Unsafe
12856,Village_12856,Tamil Nadu,Patna,Groundwater,8.18,224,110,1.14,0.066,Unsafe
12857,Village_12857,West Bengal,Jaipur,Groundwater,6.52,802,288,1.33,0.04,Unsafe
12858,Village_12858,Uttar Pradesh,Jaipur,Groundwater,8.45,498,140,1.37,0.015,Unsafe
12859,Village_12859,Maharashtra,Muzaffarnagar,Groundwater,8.08,330,386,1.69,0.052,Unsafe
12860,Village_12860,Bihar,Ahmedabad,Groundwater,7.83,1136,221,2.16,0.066,Unsafe
12861,Village_12861,Rajasthan,Bhopal,Groundwater,7.35,525,370,0.2,0.093,Unsafe
12862,Village_12862,Madhya Pradesh,Muzaffarnagar,Groundwater,7.58,1435,102,0.48,0.002,Unsafe
12863,Village_12863,Tamil Nadu,Nagpur,Groundwater,8.19,1179,383,0.42,0.056,Unsafe
12864,Village_12864,Bihar,Bhopal,Groundwater,7.87,1190,378,2.71,0.045,Unsafe
12865,Village_12865,Maharashtra,Jaipur,Groundwater,6.64,1118,222,1.42,0.022,Unsafe
12866,Village_12866,Gujarat,Chennai,Groundwater,7.76,1464,172,1.82,0.099,Unsafe
12867,Village_12867,Gujarat,Muzaffarnagar,Groundwater,6.83,334,314,0.7,0.033,Unsafe
12868,Village_12868,Uttar Pradesh,Nagpur,Groundwater,7.27,552,154,1.31,0.036,Unsafe
12869,Village_12869,Tamil Nadu,Chennai,Groundwater,8.26,352,277,2.04,0.011,Unsafe
12870,Village_12870,Maharashtra,Jaipur,Groundwater,7.74,394,131,2.26,0.006,Unsafe
12871,Village_12871,Rajasthan,Muzaffarnagar,Groundwater,6.99,532,310,1.13,0.041,Unsafe
12872,Village_12872,Bihar,Patna,Groundwater,7.67,1383,298,1.53,0.08,Unsafe
12873,Village_12873,Madhya Pradesh,Nagpur,Groundwater,7.67,959,121,2.37,0.074,Unsafe
12874,Village_12874,Gujarat,Kolkata,Groundwater,7.21,334,336,1.27,0.039,Unsafe
12875,Village_12875,West Bengal,Bhopal,Groundwater,7.71,1280,212,0.21,0.09,Unsafe
12876,Village_12876,Tamil Nadu,Chennai,Groundwater,8.07,730,446,1.14,0.09,Unsafe
12877,Village_12877,Rajasthan,Nagpur,Groundwater,7.37,249,231,1.48,0.007,Safe
12878,Village_12878,Maharashtra,Kolkata,Groundwater,7.4,636,128,2.31,0.003,Unsafe
12879,Village_12879,Gujarat,Ahmedabad,Groundwater,6.58,837,168,2.75,0.05,Unsafe
12880,Village_12880,West Bengal,Muzaffarnagar,Groundwater,7.5,1350,424,1.69,0.021,Unsafe
12881,Village_12881,West Bengal,Muzaffarnagar,Groundwater,7.43,1197,181,1.66,0.01,Unsafe
12882,Village_12882,Rajasthan,Ahmedabad,Groundwater,7.39,477,207,2.27,0.002,Unsafe
12883,Village_12883,Gujarat,Ahmedabad,Groundwater,8.03,802,206,0.72,0.025,Unsafe
12884,Village_12884,Rajasthan,Chennai,Groundwater,7.15,919,408,1.52,0.057,Unsafe
12885,Village_12885,Maharashtra,Kolkata,Groundwater,7.51,1256,211,0.36,0.007,Unsafe
12886,Village_12886,Uttar Pradesh,Patna,Groundwater,6.85,946,274,1.11,0.076,Unsafe
12887,Village_12887,Bihar,Ahmedabad,Groundwater,7.28,571,415,1.41,0.099,Unsafe
12888,Village_12888,West Bengal,Patna,Groundwater,6.79,1157,370,0.84,0.006,Unsafe
12889,Village_12889,Bihar,Kolkata,Groundwater,8.39,535,317,1.63,0.041,Unsafe
12890,Village_12890,Maharashtra,Chennai,Groundwater,7.64,347,181,2.71,0.009,Unsafe
12891,Village_12891,Rajasthan,Ahmedabad,Groundwater,7.47,703,389,0.78,0.009,Unsafe
12892,Village_12892,Gujarat,Muzaffarnagar,Groundwater,7.66,1482,422,2.83,0.015,Unsafe
12893,Village_12893,Maharashtra,Jaipur,Groundwater,7.5,821,355,1.25,0.082,Unsafe
12894,Village_12894,Madhya Pradesh,Kolkata,Groundwater,6.81,537,133,1.57,0.083,Unsafe
12895,Village_12895,Bihar,Nagpur,Groundwater,8.06,460,395,1.87,0.011,Unsafe
12896,Village_12896,Maharashtra,Muzaffarnagar,Groundwater,7.36,1030,319,0.95,0.057,Unsafe
12897,Village_12897,Maharashtra,Kolkata,Groundwater,8.41,855,452,0.5,0.068,Unsafe
12898,Village_12898,Bihar,Chennai,Groundwater,7.72,281,281,1.21,0.084,Unsafe
12899,Village_12899,Rajasthan,Ahmedabad,Groundwater,8.3,1439,426,1.74,0.008,Unsafe
12900,Village_12900,Tamil Nadu,Nagpur,Groundwater,6.69,356,109,1.88,0.08,Unsafe
12901,Village_12901,West Bengal,Bhopal,Groundwater,8.01,494,396,2.51,0.023,Unsafe
12902,Village_12902,West Bengal,Chennai,Groundwater,7.98,830,473,2.46,0.097,Unsafe
12903,Village_12903,Madhya Pradesh,Nagpur,Groundwater,7.56,1114,328,2.4,0.06,Unsafe
12904,Village_12904,West Bengal,Ahmedabad,Groundwater,8.39,753,141,1.25,0.061,Unsafe
12905,Village_12905,Madhya Pradesh,Chennai,Groundwater,8.4,949,137,2.95,0.033,Unsafe
12906,Village_12906,Uttar Pradesh,Jaipur,Groundwater,8.28,1482,149,1.56,0.051,Unsafe
12907,Village_12907,Bihar,Kolkata,Groundwater,8.48,578,447,0.98,0.081,Unsafe
12908,Village_12908,Rajasthan,Nagpur,Groundwater,6.64,343,181,1.67,0.091,Unsafe
12909,Village_12909,Tamil Nadu,Jaipur,Groundwater,8.45,240,204,0.42,0.098,Unsafe
12910,Village_12910,Uttar Pradesh,Muzaffarnagar,Groundwater,7.68,1160,470,0.52,0.06,Unsafe
12911,Village_12911,West Bengal,Kolkata,Groundwater,7.88,1374,162,0.98,0.08,Unsafe
12912,Village_12912,West Bengal,Ahmedabad,Groundwater,8.47,980,426,0.83,0.092,Unsafe
12913,Village_12913,Maharashtra,Nagpur,Groundwater,7.16,920,372,0.59,0.049,Unsafe
12914,Village_12914,Maharashtra,Jaipur,Groundwater,6.83,1470,461,0.37,0.093,Unsafe
12915,Village_12915,Gujarat,Nagpur,Groundwater,7.04,893,165,1.7,0.012,Unsafe
12916,Village_12916,Bihar,Ahmedabad,Groundwater,7.28,1230,256,1.13,0.02,Unsafe
12917,Village_12917,Bihar,Jaipur,Groundwater,6.83,348,141,0.51,0.01,Unsafe
12918,Village_12918,West Bengal,Kolkata,Groundwater,8.44,1174,126,0.41,0.076,Unsafe
12919,Village_12919,West Bengal,Nagpur,Groundwater,6.98,255,284,0.49,0.047,Unsafe
12920,Village_12920,Gujarat,Patna,Groundwater,6.69,1285,189,1.11,0.04,Unsafe
12921,Village_12921,Bihar,Patna,Groundwater,8.28,1214,251,0.39,0.053,Unsafe
12922,Village_12922,Uttar Pradesh,Bhopal,Groundwater,8.34,898,262,2.56,0.009,Unsafe
12923,Village_12923,Tamil Nadu,Ahmedabad,Groundwater,7.82,709,151,2.21,0.004,Unsafe
12924,Village_12924,Gujarat,Kolkata,Groundwater,8.41,1158,162,0.54,0.022,Unsafe
12925,Village_12925,West Bengal,Nagpur,Groundwater,6.71,1329,324,2.77,0.018,Unsafe
12926,Village_12926,Rajasthan,Nagpur,Groundwater,7.1,1225,336,2.32,0.089,Unsafe
12927,Village_12927,Bihar,Bhopal,Groundwater,7.56,288,486,2.69,0.034,Unsafe
12928,Village_12928,Maharashtra,Jaipur,Groundwater,7.39,938,100,1.58,0.018,Unsafe
12929,Village_12929,Rajasthan,Chennai,Groundwater,7.02,1041,453,2.77,0.097,Unsafe
12930,Village_12930,Gujarat,Chennai,Groundwater,8.21,1108,287,1.24,0.023,Unsafe
12931,Village_12931,West Bengal,Patna,Groundwater,7.66,1459,211,2.22,0.061,Unsafe
12932,Village_12932,Tamil Nadu,Kolkata,Groundwater,7.1,1149,252,1.18,0.049,Unsafe
12933,Village_12933,Rajasthan,Jaipur,Groundwater,8.28,1114,372,1.74,0.005,Unsafe
12934,Village_12934,Maharashtra,Kolkata,Groundwater,8.31,288,102,1.95,0.053,Unsafe
12935,Village_12935,Rajasthan,Muzaffarnagar,Groundwater,6.67,1143,325,2.96,0.082,Unsafe
12936,Village_12936,Rajasthan,Kolkata,Groundwater,7.42,1188,198,1.51,0.089,Unsafe
12937,Village_12937,Madhya Pradesh,Bhopal,Groundwater,8.2,1172,172,0.98,0.063,Unsafe
12938,Village_12938,Maharashtra,Patna,Groundwater,6.78,418,347,0.82,0.071,Unsafe
12939,Village_12939,Tamil Nadu,Patna,Groundwater,7.25,311,322,0.7,0.083,Unsafe
12940,Village_12940,West Bengal,Ahmedabad,Groundwater,8.03,884,363,1.94,0.04,Unsafe
12941,Village_12941,Bihar,Chennai,Groundwater,6.78,254,415,0.34,0.031,Unsafe
12942,Village_12942,West Bengal,Muzaffarnagar,Groundwater,7.63,1318,253,1.47,0.088,Unsafe
12943,Village_12943,West Bengal,Bhopal,Groundwater,7.26,1486,467,0.68,0.015,Unsafe
12944,Village_12944,Bihar,Muzaffarnagar,Groundwater,7.96,507,160,1.1,0.092,Unsafe
12945,Village_12945,Bihar,Jaipur,Groundwater,7.04,846,397,1.16,0.073,Unsafe
12946,Village_12946,Rajasthan,Ahmedabad,Groundwater,6.92,1072,492,2.73,0.038,Unsafe
12947,Village_12947,Bihar,Kolkata,Groundwater,7.94,272,199,2.42,0.074,Unsafe
12948,Village_12948,Tamil Nadu,Jaipur,Groundwater,8.2,1285,187,0.8,0.068,Unsafe
12949,Village_12949,West Bengal,Ahmedabad,Groundwater,8.16,241,491,1.57,0.068,Unsafe
12950,Village_12950,West Bengal,Patna,Groundwater,8.18,222,441,2.07,0.041,Unsafe
12951,Village_12951,Rajasthan,Jaipur,Groundwater,6.65,1196,220,1.76,0.004,Unsafe
12952,Village_12952,Bihar,Patna,Groundwater,8.31,873,393,2.51,0.009,Unsafe
12953,Village_12953,Uttar Pradesh,Bhopal,Groundwater,8.23,291,286,1.44,0.029,Unsafe
12954,Village_12954,Maharashtra,Patna,Groundwater,7.83,1368,249,2.5,0.003,Unsafe
12955,Village_12955,Tamil Nadu,Patna,Groundwater,7.54,1328,273,2.4,0.052,Unsafe
12956,Village_12956,Bihar,Bhopal,Groundwater,8.25,1042,375,2.05,0.052,Unsafe
12957,Village_12957,Gujarat,Kolkata,Groundwater,7.44,559,181,1.35,0.057,Unsafe
12958,Village_12958,Tamil Nadu,Kolkata,Groundwater,7.1,1391,166,1.77,0.001,Unsafe
12959,Village_12959,Rajasthan,Patna,Groundwater,7.62,222,205,2.91,0.086,Unsafe
12960,Village_12960,Tamil Nadu,Nagpur,Groundwater,7.18,1438,237,1.26,0.001,Unsafe
12961,Village_12961,Rajasthan,Jaipur,Groundwater,8.0,380,156,0.62,0.1,Unsafe
12962,Village_12962,Madhya Pradesh,Nagpur,Groundwater,7.95,1404,266,1.07,0.082,Unsafe
12963,Village_12963,Bihar,Chennai,Groundwater,8.32,1435,216,0.31,0.052,Unsafe
12964,Village_12964,Madhya Pradesh,Nagpur,Groundwater,7.83,593,461,1.16,0.053,Unsafe
12965,Village_12965,Gujarat,Jaipur,Groundwater,6.66,676,120,0.37,0.011,Unsafe
12966,Village_12966,Tamil Nadu,Ahmedabad,Groundwater,7.52,778,385,2.59,0.057,Unsafe
12967,Village_12967,Maharashtra,Chennai,Groundwater,8.4,692,499,0.88,0.092,Unsafe
12968,Village_12968,Maharashtra,Bhopal,Groundwater,6.73,1354,107,1.45,0.051,Unsafe
12969,Village_12969,West Bengal,Muzaffarnagar,Groundwater,7.53,581,138,0.53,0.004,Unsafe
12970,Village_12970,Rajasthan,Bhopal,Groundwater,7.9,684,329,1.3,0.054,Unsafe
12971,Village_12971,Madhya Pradesh,Patna,Groundwater,7.46,458,320,0.35,0.019,Unsafe
12972,Village_12972,Uttar Pradesh,Jaipur,Groundwater,7.09,1317,110,2.36,0.081,Unsafe
12973,Village_12973,Tamil Nadu,Nagpur,Groundwater,6.57,1373,345,1.9,0.01,Unsafe
12974,Village_12974,Madhya Pradesh,Patna,Groundwater,6.68,1268,206,2.02,0.035,Unsafe
12975,Village_12975,Madhya Pradesh,Muzaffarnagar,Groundwater,6.82,257,469,1.26,0.096,Unsafe
12976,Village_12976,Madhya Pradesh,Patna,Groundwater,6.75,1019,399,2.88,0.084,Unsafe
12977,Village_12977,Bihar,Jaipur,Groundwater,7.1,667,293,0.42,0.031,Unsafe
12978,Village_12978,Maharashtra,Bhopal,Groundwater,8.35,336,110,1.68,0.092,Unsafe
12979,Village_12979,Maharashtra,Ahmedabad,Groundwater,6.73,1379,348,0.71,0.071,Unsafe
12980,Village_12980,West Bengal,Nagpur,Groundwater,8.15,1157,428,2.3,0.031,Unsafe
12981,Village_12981,West Bengal,Jaipur,Groundwater,6.87,1337,428,1.86,0.046,Unsafe
12982,Village_12982,Uttar Pradesh,Nagpur,Groundwater,7.9,671,343,2.66,0.038,Unsafe
12983,Village_12983,Maharashtra,Bhopal,Groundwater,7.43,480,319,1.76,0.075,Unsafe
12984,Village_12984,Tamil Nadu,Patna,Groundwater,7.21,928,234,2.66,0.064,Unsafe
12985,Village_12985,Uttar Pradesh,Nagpur,Groundwater,7.38,1465,241,1.4,0.048,Unsafe
12986,Village_12986,West Bengal,Chennai,Groundwater,7.97,856,203,1.75,0.006,Unsafe
12987,Village_12987,Maharashtra,Muzaffarnagar,Groundwater,7.89,1460,444,1.5,0.07,Unsafe
12988,Village_12988,Madhya Pradesh,Bhopal,Groundwater,7.59,613,496,2.83,0.03,Unsafe
12989,Village_12989,Gujarat,Nagpur,Groundwater,7.02,1406,304,1.46,0.08,Unsafe
12990,Village_12990,Bihar,Muzaffarnagar,Groundwater,7.75,753,145,0.59,0.078,Unsafe
12991,Village_12991,Tamil Nadu,Chennai,Groundwater,8.17,225,386,2.63,0.02,Unsafe
12992,Village_12992,West Bengal,Kolkata,Groundwater,7.25,533,107,2.82,0.049,Unsafe
12993,Village_12993,Maharashtra,Jaipur,Groundwater,7.49,585,386,0.27,0.028,Unsafe
12994,Village_12994,West Bengal,Nagpur,Groundwater,6.97,1203,225,0.89,0.083,Unsafe
12995,Village_12995,Tamil Nadu,Chennai,Groundwater,7.19,316,429,0.43,0.046,Unsafe
12996,Village_12996,Maharashtra,Patna,Groundwater,8.41,758,422,0.22,0.062,Unsafe
12997,Village_12997,Madhya Pradesh,Bhopal,Groundwater,6.94,439,278,0.82,0.029,Unsafe
12998,Village_12998,Rajasthan,Chennai,Groundwater,7.72,727,430,2.26,0.07,Unsafe
12999,Village_12999,Rajasthan,Nagpur,Groundwater,7.44,665,314,2.44,0.027,Unsafe
13000,Village_13000,Uttar Pradesh,Patna,Groundwater,7.67,1470,388,2.74,0.098,Unsafe
13001,Village_13001,Maharashtra,Patna,Groundwater,6.73,1438,447,1.68,0.045,Unsafe
13002,Village_13002,Maharashtra,Patna,Groundwater,7.08,1421,111,2.7,0.06,Unsafe
13003,Village_13003,Rajasthan,Muzaffarnagar,Groundwater,6.6,607,173,1.82,0.089,Unsafe
13004,Village_13004,Bihar,Muzaffarnagar,Groundwater,8.08,864,198,2.31,0.07,Unsafe
13005,Village_13005,West Bengal,Muzaffarnagar,Groundwater,6.68,1410,308,2.86,0.025,Unsafe
13006,Village_13006,West Bengal,Ahmedabad,Groundwater,7.31,1441,213,2.85,0.018,Unsafe
13007,Village_13007,Maharashtra,Muzaffarnagar,Groundwater,7.37,315,173,1.56,0.049,Unsafe
13008,Village_13008,West Bengal,Kolkata,Groundwater,6.61,272,343,2.53,0.096,Unsafe
13009,Village_13009,Maharashtra,Ahmedabad,Groundwater,6.61,1204,322,1.01,0.019,Unsafe
13010,Village_13010,Madhya Pradesh,Kolkata,Groundwater,8.36,1029,173,0.79,0.001,Unsafe
13011,Village_13011,Gujarat,Muzaffarnagar,Groundwater,7.32,1028,320,1.0,0.043,Unsafe
13012,Village_13012,Gujarat,Jaipur,Groundwater,7.47,245,386,0.61,0.032,Unsafe
13013,Village_13013,Gujarat,Patna,Groundwater,6.93,796,143,0.83,0.006,Unsafe
13014,Village_13014,West Bengal,Patna,Groundwater,6.86,260,407,1.06,0.054,Unsafe
13015,Village_13015,Rajasthan,Bhopal,Groundwater,7.5,787,454,1.39,0.067,Unsafe
13016,Village_13016,West Bengal,Nagpur,Groundwater,8.35,233,460,0.66,0.094,Unsafe
13017,Village_13017,Uttar Pradesh,Muzaffarnagar,Groundwater,8.31,295,272,2.13,0.073,Unsafe
13018,Village_13018,Tamil Nadu,Nagpur,Groundwater,7.38,370,300,2.18,0.004,Unsafe
13019,Village_13019,Madhya Pradesh,Jaipur,Groundwater,6.73,674,473,2.43,0.039,Unsafe
13020,Village_13020,Madhya Pradesh,Muzaffarnagar,Groundwater,8.12,1227,478,0.57,0.063,Unsafe
13021,Village_13021,West Bengal,Kolkata,Groundwater,7.94,1008,434,1.78,0.08,Unsafe
13022,Village_13022,Tamil Nadu,Nagpur,Groundwater,6.52,837,424,1.2,0.033,Unsafe
13023,Village_13023,Gujarat,Nagpur,Groundwater,8.15,842,413,1.86,0.087,Unsafe
13024,Village_13024,Rajasthan,Bhopal,Groundwater,6.93,928,292,1.1,0.044,Unsafe
13025,Village_13025,Rajasthan,Kolkata,Groundwater,7.51,585,490,1.51,0.06,Unsafe
13026,Village_13026,Maharashtra,Muzaffarnagar,Groundwater,6.88,1440,276,1.4,0.026,Unsafe
13027,Village_13027,Tamil Nadu,Kolkata,Groundwater,7.07,388,156,0.71,0.092,Unsafe
13028,Village_13028,West Bengal,Bhopal,Groundwater,7.48,904,426,2.96,0.064,Unsafe
13029,Village_13029,Uttar Pradesh,Jaipur,Groundwater,7.52,1215,126,0.83,0.048,Unsafe
13030,Village_13030,Gujarat,Chennai,Groundwater,7.07,744,157,0.8,0.016,Unsafe
13031,Village_13031,West Bengal,Ahmedabad,Groundwater,7.09,1341,119,0.43,0.096,Unsafe
13032,Village_13032,Madhya Pradesh,Ahmedabad,Groundwater,8.41,1081,210,2.44,0.011,Unsafe
13033,Village_13033,Rajasthan,Muzaffarnagar,Groundwater,7.25,595,492,0.77,0.016,Unsafe
13034,Village_13034,Uttar Pradesh,Jaipur,Groundwater,7.36,800,432,2.9,0.012,Unsafe
13035,Village_13035,Uttar Pradesh,Muzaffarnagar,Groundwater,7.39,304,105,1.31,0.064,Unsafe
13036,Village_13036,Gujarat,Nagpur,Groundwater,6.74,1315,434,2.1,0.078,Unsafe
13037,Village_13037,Madhya Pradesh,Chennai,Groundwater,6.57,911,346,2.68,0.099,Unsafe
13038,Village_13038,Maharashtra,Patna,Groundwater,6.9,1298,388,0.77,0.034,Unsafe
13039,Village_13039,Maharashtra,Ahmedabad,Groundwater,6.74,1006,227,1.59,0.054,Unsafe
13040,Village_13040,West Bengal,Patna,Groundwater,7.34,672,329,1.98,0.01,Unsafe
13041,Village_13041,Maharashtra,Kolkata,Groundwater,7.27,940,213,2.42,0.098,Unsafe
13042,Village_13042,Rajasthan,Bhopal,Groundwater,7.18,1384,402,2.75,0.032,Unsafe
13043,Village_13043,Bihar,Jaipur,Groundwater,7.7,1217,192,2.04,0.05,Unsafe
13044,Village_13044,Bihar,Chennai,Groundwater,7.99,947,303,2.33,0.002,Unsafe
13045,Village_13045,Maharashtra,Muzaffarnagar,Groundwater,6.65,916,137,0.98,0.01,Unsafe
13046,Village_13046,West Bengal,Nagpur,Groundwater,8.04,1011,354,1.29,0.006,Unsafe
13047,Village_13047,Madhya Pradesh,Muzaffarnagar,Groundwater,7.22,486,107,1.79,0.008,Unsafe
13048,Village_13048,Rajasthan,Kolkata,Groundwater,8.32,659,200,2.37,0.052,Unsafe
13049,Village_13049,Bihar,Jaipur,Groundwater,7.25,794,108,0.51,0.06,Unsafe
13050,Village_13050,Bihar,Bhopal,Groundwater,7.51,582,221,1.03,0.073,Unsafe
13051,Village_13051,Rajasthan,Bhopal,Groundwater,7.69,1106,398,2.46,0.038,Unsafe
13052,Village_13052,Maharashtra,Patna,Groundwater,6.7,502,325,0.75,0.03,Unsafe
13053,Village_13053,Tamil Nadu,Nagpur,Groundwater,6.79,202,483,0.84,0.031,Unsafe
13054,Village_13054,Maharashtra,Nagpur,Groundwater,7.63,1484,345,2.52,0.068,Unsafe
13055,Village_13055,Bihar,Nagpur,Groundwater,7.69,506,437,2.95,0.041,Unsafe
13056,Village_13056,Gujarat,Ahmedabad,Groundwater,7.39,527,349,0.84,0.059,Unsafe
13057,Village_13057,Uttar Pradesh,Muzaffarnagar,Groundwater,8.31,960,492,1.57,0.062,Unsafe
13058,Village_13058,Bihar,Patna,Groundwater,8.37,355,153,1.35,0.017,Unsafe
13059,Village_13059,Maharashtra,Bhopal,Groundwater,7.07,281,288,1.49,0.048,Unsafe
13060,Village_13060,Uttar Pradesh,Bhopal,Groundwater,7.35,859,121,0.86,0.019,Unsafe
13061,Village_13061,Tamil Nadu,Patna,Groundwater,6.51,553,171,0.39,0.03,Unsafe
13062,Village_13062,Rajasthan,Jaipur,Groundwater,6.88,847,449,0.41,0.002,Unsafe
13063,Village_13063,Uttar Pradesh,Muzaffarnagar,Groundwater,7.71,761,415,1.64,0.024,Unsafe
13064,Village_13064,Madhya Pradesh,Muzaffarnagar,Groundwater,8.26,1459,129,1.94,0.06,Unsafe
13065,Village_13065,Maharashtra,Nagpur,Groundwater,8.3,887,310,1.29,0.091,Unsafe
13066,Village_13066,Madhya Pradesh,Nagpur,Groundwater,7.87,902,260,1.39,0.042,Unsafe
13067,Village_13067,West Bengal,Nagpur,Groundwater,6.75,479,453,1.43,0.066,Unsafe
13068,Village_13068,Tamil Nadu,Ahmedabad,Groundwater,7.53,725,315,1.99,0.071,Unsafe
13069,Village_13069,Maharashtra,Bhopal,Groundwater,8.1,1004,447,1.08,0.024,Unsafe
13070,Village_13070,Maharashtra,Ahmedabad,Groundwater,8.01,767,336,2.57,0.086,Unsafe
13071,Village_13071,Madhya Pradesh,Nagpur,Groundwater,7.75,1372,434,2.71,0.058,Unsafe
13072,Village_13072,Tamil Nadu,Chennai,Groundwater,7.61,714,292,0.84,0.054,Unsafe
13073,Village_13073,Gujarat,Ahmedabad,Groundwater,8.14,286,164,0.35,0.088,Unsafe
13074,Village_13074,Rajasthan,Bhopal,Groundwater,7.27,1044,495,0.71,0.015,Unsafe
13075,Village_13075,Madhya Pradesh,Kolkata,Groundwater,6.7,409,214,0.64,0.029,Unsafe
13076,Village_13076,West Bengal,Bhopal,Groundwater,8.14,962,221,1.38,0.072,Unsafe
13077,Village_13077,Madhya Pradesh,Chennai,Groundwater,8.13,995,402,2.33,0.045,Unsafe
13078,Village_13078,Rajasthan,Bhopal,Groundwater,8.3,1155,120,0.59,0.058,Unsafe
13079,Village_13079,Maharashtra,Bhopal,Groundwater,7.4,412,404,0.29,0.094,Unsafe
13080,Village_13080,Madhya Pradesh,Kolkata,Groundwater,7.7,1471,286,2.61,0.007,Unsafe
13081,Village_13081,Gujarat,Ahmedabad,Groundwater,8.01,597,311,1.78,0.055,Unsafe
13082,Village_13082,Rajasthan,Ahmedabad,Groundwater,8.09,896,272,1.06,0.02,Unsafe
13083,Village_13083,West Bengal,Kolkata,Groundwater,7.5,1351,229,1.75,0.043,Unsafe
13084,Village_13084,Uttar Pradesh,Bhopal,Groundwater,6.59,239,269,2.74,0.026,Unsafe
13085,Village_13085,Uttar Pradesh,Bhopal,Groundwater,6.76,898,245,1.34,0.054,Unsafe
13086,Village_13086,Madhya Pradesh,Jaipur,Groundwater,7.19,1345,244,2.72,0.02,Unsafe
13087,Village_13087,Bihar,Ahmedabad,Groundwater,7.13,762,191,2.76,0.001,Unsafe
13088,Village_13088,Tamil Nadu,Kolkata,Groundwater,6.97,594,170,2.3,0.067,Unsafe
13089,Village_13089,Uttar Pradesh,Kolkata,Groundwater,7.15,1126,278,2.65,0.054,Unsafe
13090,Village_13090,Gujarat,Chennai,Groundwater,8.17,1370,241,0.35,0.098,Unsafe
13091,Village_13091,Uttar Pradesh,Kolkata,Groundwater,8.05,1132,192,2.62,0.035,Unsafe
13092,Village_13092,Tamil Nadu,Bhopal,Groundwater,6.59,799,129,1.33,0.0,Unsafe
13093,Village_13093,Gujarat,Chennai,Groundwater,7.16,1225,480,2.1,0.016,Unsafe
13094,Village_13094,Bihar,Chennai,Groundwater,8.2,1498,474,0.28,0.006,Unsafe
13095,Village_13095,Tamil Nadu,Patna,Groundwater,8.08,1274,232,0.72,0.053,Unsafe
13096,Village_13096,Gujarat,Ahmedabad,Groundwater,6.67,1124,426,2.38,0.059,Unsafe
13097,Village_13097,Gujarat,Patna,Groundwater,6.51,257,361,2.86,0.041,Unsafe
13098,Village_13098,Maharashtra,Kolkata,Groundwater,6.96,612,453,0.51,0.017,Unsafe
13099,Village_13099,Uttar Pradesh,Muzaffarnagar,Groundwater,6.97,931,265,1.05,0.05,Unsafe
13100,Village_13100,Maharashtra,Nagpur,Groundwater,7.09,1089,443,2.55,0.004,Unsafe
13101,Village_13101,Rajasthan,Jaipur,Groundwater,6.84,1423,385,1.22,0.021,Unsafe
13102,Village_13102,Gujarat,Bhopal,Groundwater,7.42,235,346,0.33,0.008,Safe
13103,Village_13103,West Bengal,Nagpur,Groundwater,8.04,574,135,0.25,0.05,Unsafe
13104,Village_13104,Maharashtra,Ahmedabad,Groundwater,6.94,1425,235,1.52,0.033,Unsafe
13105,Village_13105,Tamil Nadu,Bhopal,Groundwater,8.09,1314,333,0.58,0.065,Unsafe
13106,Village_13106,Madhya Pradesh,Kolkata,Groundwater,8.28,703,464,1.77,0.019,Unsafe
13107,Village_13107,West Bengal,Bhopal,Groundwater,7.22,1009,156,2.73,0.028,Unsafe
13108,Village_13108,Uttar Pradesh,Kolkata,Groundwater,8.12,1019,166,2.23,0.065,Unsafe
13109,Village_13109,Bihar,Chennai,Groundwater,8.06,407,129,0.61,0.084,Unsafe
13110,Village_13110,Rajasthan,Patna,Groundwater,7.54,1122,150,2.87,0.001,Unsafe
13111,Village_13111,Rajasthan,Chennai,Groundwater,7.57,1099,218,2.75,0.045,Unsafe
13112,Village_13112,Uttar Pradesh,Ahmedabad,Groundwater,8.15,1257,167,1.23,0.093,Unsafe
13113,Village_13113,Gujarat,Bhopal,Groundwater,7.27,336,180,1.31,0.064,Unsafe
